Wall time,Step,Value
1693227931.569641,100,0.03199940174818039
1693228197.760803,200,0.03733279928565025
1693228459.225675,300,0.042666200548410416
1693228741.576074,400,0.04799959808588028
1693228999.778282,500,0.05333299934864044
1693229260.504922,600,0.058666400611400604
1693229520.768672,700,0.06399980187416077
1693229777.221868,800,0.06933319568634033
1693230031.882095,900,0.07466660439968109
1693230287.605077,1000,0.07999999821186066
1693230544.528346,1100,0.079999178647995
1693230797.430249,1200,0.07999670505523682
1693231053.147055,1300,0.07999259978532791
1693231310.565977,1400,0.07998684793710709
1693231564.328307,1500,0.07997944951057434
1693231819.282361,1600,0.07997040450572968
1693232074.743341,1700,0.07995972037315369
1693232332.846724,1800,0.07994739711284637
1693232612.716406,1900,0.07993341982364655
1693232872.678419,2000,0.07991781085729599
