Wall time,Step,Value
1711920320.324129,100,0.03199940174818039
1711920486.33153,200,0.03733279928565025
1711920650.997263,300,0.042666200548410416
1711920811.927411,400,0.04799959808588028
1711920970.415412,500,0.05333299934864044
1711921128.714018,600,0.058666400611400604
1711921289.24855,700,0.06399980187416077
1711921449.058654,800,0.06933319568634033
1711921609.265646,900,0.07466660439968109
1711921769.548109,1000,0.07999999821186066
1711921930.525526,1100,0.079999178647995
1711922089.542251,1200,0.07999670505523682
1711922251.660266,1300,0.07999259978532791
1711922413.013905,1400,0.07998684793710709
1711922584.387001,1500,0.07997944951057434
1711922752.23578,1600,0.07997040450572968
1711922911.900179,1700,0.07995972037315369
1711923072.790524,1800,0.07994739711284637
1711923239.030042,1900,0.07993341982364655
1711923413.041393,2000,0.07991781085729599
1711923587.395857,2100,0.07990056276321411
1711923749.93582,2200,0.07988166809082031
1711923912.077906,2300,0.07986114174127579
1711924072.990558,2400,0.07983896881341934
1711924233.741907,2500,0.07981516420841217
1711924394.130953,2600,0.07978972047567368
1711924554.11385,2700,0.07976263761520386
1711924714.333726,2800,0.07973392307758331
1711924876.192223,2900,0.07970357686281204
1711925037.494532,3000,0.07967159897089005
1711925198.196739,3100,0.07963798940181732
1711925358.914908,3200,0.07960274815559387
1711925519.124089,3300,0.07956588268280029
1711925678.692321,3400,0.07952738553285599
1711925839.362911,3500,0.07948727160692215
1711925998.743825,3600,0.07944552600383759
1711926158.32654,3700,0.07940216362476349
1711926318.893871,3800,0.07935718446969986
1711926490.002784,3900,0.0793105810880661
1711926660.829051,4000,0.07926236093044281
1711926822.821316,4100,0.07921253144741058
1711926982.877799,4200,0.07916109263896942
1711927142.597735,4300,0.07910803705453873
1711927303.150073,4400,0.0790533795952797
1711927462.979843,4500,0.07899711281061172
1711927623.510824,4600,0.07893924415111542
1711927784.572895,4700,0.07887978106737137
1711927944.913679,4800,0.07881870865821838
1711928105.16549,4900,0.07875604927539825
1711928264.894321,5000,0.07869179546833038
1711928424.753553,5100,0.07862594723701477
1711928585.675026,5200,0.07855851203203201
1711928745.523612,5300,0.07848948985338211
1711928905.533323,5400,0.07841889560222626
1711929065.19529,5500,0.07834671437740326
1711929224.681804,5600,0.07827295362949371
1711929384.778209,5700,0.07819762825965881
1711929544.355507,5800,0.07812072336673737
1711929704.574347,5900,0.07804225385189056
1711929865.014427,6000,0.077962227165699
1711930025.428114,6100,0.07788063585758209
1711930184.910164,6200,0.07779748737812042
1711930355.762037,6300,0.07771278917789459
1711930528.124658,6400,0.077626533806324
1711930691.413899,6500,0.07753873616456985
1711930857.043976,6600,0.07744938880205154
1711931017.900984,6700,0.07735851407051086
1711931181.896663,6800,0.07726609706878662
1711931342.368248,6900,0.07717214524745941
1711931502.311589,7000,0.07707667350769043
1711931663.11496,7100,0.07697966694831848
1711931822.639991,7200,0.07688114792108536
1711931982.454831,7300,0.07678110897541046
1711932144.122246,7400,0.07667956501245499
1711932304.709301,7500,0.07657650113105774
1711932465.316729,7600,0.07647193968296051
1711932626.357367,7700,0.0763658806681633
1711932786.571613,7800,0.0762583315372467
1711932946.768232,7900,0.07614927738904953
1711933109.655151,8000,0.07603874802589417
1711933269.547827,8100,0.07592674344778061
1711933429.315679,8200,0.07581325620412827
1711933588.98618,8300,0.07569828629493713
1711933748.691853,8400,0.0755818635225296
1711933909.782712,8500,0.07546397298574448
1711934070.170866,8600,0.07534461468458176
1711934237.083827,8700,0.07522381842136383
1711934409.721085,8800,0.0751015692949295
1711934573.292881,8900,0.07497787475585938
1711934734.139944,9000,0.07485274970531464
1711934894.940427,9100,0.07472618669271469
1711935058.204384,9200,0.07459819316864014
1711935218.219745,9300,0.07446878403425217
1711935378.717325,9400,0.07433794438838959
1711935539.035761,9500,0.07420570403337479
1711935700.404056,9600,0.07407206296920776
1711935861.080972,9700,0.07393701374530792
1711936022.213931,9800,0.07380057126283646
1711936182.947194,9900,0.07366273552179337
1711936343.58366,10000,0.07352352142333984
